N,t,Q,V,E,T
328,31730.0015070941,2.20406467194912,3.7862906,193,25.807169
328,31740.0015075691,2.20475931324989,3.7864482,193,25.870213
328,31750.0015080441,2.20545394524829,3.7866845,193,25.878096
328,31760.0015085191,2.2061485800812,3.7867632,193,25.941139
328,31770.001508994,2.20684321879919,3.7867632,193,25.830811
328,31780.001509469,2.20753785110407,3.787039,193.1,25.744123
328,31790.001509944,2.20823248279606,3.7871571,193.1,25.94902
328,31800.0015104189,2.20892711419256,3.787236,193.1,25.893854
328,31810.0015108939,2.20962174596121,3.787354,193.1,25.830811
328,31820.0015113689,2.21031638000617,3.7874329,193.1,25.917496
328,31830.0015118439,2.21101101248615,3.7875509,193.1,26.019945
328,31840.0015123188,2.21170564904817,3.7876692,193.1,26.18544
328,31850.0015127938,2.21240028225044,3.7877479,193.1,25.94902
328,31860.0015132688,2.21309491733511,3.7879055,193.1,25.83869
328,31870.0015137438,2.21378955042794,3.7881024,193.1,26.027828
328,31880.0015142187,2.21448418492157,3.7881813,193.1,25.941139
328,31890.0015146937,2.21517882037828,3.7883387,193.1,25.775646
328,31900.0015151687,2.21587345342732,3.7884963,193.1,25.980543
328,31910.0015156437,2.21656808528347,3.7885356,193.2,25.712599
328,31920.0015161186,2.21726272197681,3.7887325,193.2,26.043587
328,31930.0015165936,2.2179573579041,3.7888901,193.2,26.05147
328,31940.0015170686,2.21865199283548,3.7889295,193.2,26.122393
328,31950.0015175436,2.21934662973676,3.7890477,193.2,25.893854
328,31960.0015180185,2.22004126739315,3.789284,193.2,25.885975
328,31970.0015184935,2.22073589750925,3.7892447,193.2,25.767763
328,31980.0015189685,2.22143053072241,3.7894809,193.2,26.146036
328,31990.0015194435,2.22212517165106,3.7895203,193.2,25.925379
328,32000.0015199184,2.22281981544706,3.7895598,193.2,25.980543
328,32010.0015203934,2.22351445463567,3.7897172,193.3,26.035707
328,32020.0015208684,2.22420909566285,3.7899537,193.3,25.917496
328,32030.0015213434,2.22490372650117,3.7901111,193.3,26.027828
