Time (s),Voltage (V),Current (A),Cell Temperature,Thermocouple_2,Force,Current Shunt,CO2 from CAN (ppm),Humidity,Pressure,Status 1 ,Gas Temperature,Status 2,Thermal Conductivity
26.891,4.165646685,0,22.56912378,23.45456286,10.53887445,-0.832957995,506,32,100,0,21.875,0,1.133
26.991,4.165646685,0,22.55922983,23.49409406,10.57771482,-0.801079391,506,32,100,0,21.875,0,1.133
27.091,4.165646685,0,22.55922983,23.45456286,10.56800473,-0.82897317,505,32,100,0,21.875,0,1.133
27.191,4.165686553,0,22.55922983,23.46444579,10.51621756,-0.836942821,505,32,100,0,21.875,0,1.133
27.291,4.16556695,0,22.55922983,23.46444579,10.55182124,-0.848897297,505,32,100,0,21.875,0,1.133
27.391,4.165606817,0,22.52954745,23.46444579,10.52592766,-0.880775901,505,32,100,0,21.875,0,1.133
27.491,4.16556695,0,22.56912378,23.46444579,10.53563775,-0.809049042,505,32,100,0,21.875,0,1.133
27.591,4.165646685,0,22.55922983,23.46444579,10.52592766,-0.844912472,505,32,100,0,21.875,0,1.133
27.691,4.16556695,0,22.57901764,23.47432864,10.56476803,-0.809049042,505,32,100,0,21.875,0,1.133
27.791,4.165527082,0,22.55922983,23.47432864,10.51621756,-0.805064217,505,32,100,0,21.875,0,1.133
27.891,4.165686553,0,22.56912378,23.45456286,10.55829463,-0.824988344,505,32,100,0,21.875,0,1.133
27.991,4.165686553,0,22.54933579,23.46444579,10.58418822,-0.773185613,505,32,100,0,21.875,0,1.133
28.091,4.165606817,0,22.57901764,23.44467984,10.51298086,-0.908669679,505,32,100,0,21.875,0,1.133
28.191,4.165646685,0,22.53944166,23.46444579,10.52269096,-0.896715203,505,32,100,0,21.875,0,1.133
